season,player,type,ws,terms,contract_yrs,yr_1_salary,Source
2016,Aaron Brooks,UFA,0.9,Signed 1-yr/$2.5M deal with Pacers,1,2700000.00,capology
2017,Aaron Brooks,UFA,0.3,Signed with Timberwolves,1,2116955.00,spotrac
2018,Aaron Brooks,UFA,0.1,NA,0,0.00,NA
2018,Aaron Gordon,RFA,2.9,Signed 4-yr $76MM contract,4,21590909.00,capology
2018,Aaron Harrison,UFA,-0.1,Will reportedly play in Turkey,0,0.00,NA
2018,Aaron Jackson,UFA,0,NA,0,0.00,NA
2018,Abdel Nader,UFA,-0.1,NA,0,0.00,NA
2017,Adreian Payne,UFA,0.2,Signed 2-way contract with Magic,0,0.00,NA
2016,Al Horford,UFA,9.4,Signed 4-yr/$113M deal with Celtics,4,26540100.00,capology
2019,Al Horford,UFA,7.5,Signed 4-yr $109M contract,4,28000000.00,capology
2016,Al Jefferson,UFA,2.8,Signed 3-yr/$30M deal with Pacers,3,10230179.00,capology
2018,Al Jefferson,UFA,1.6,Will reportedly play in China,0,0.00,NA
2019,Al-Farouq Aminu,UFA,5.8,Signed 3-yr $29.16M contract,3,9258000.00,capology
2016,Alan Anderson,UFA,0.3,Signed 1-yr deal with Clippers,1,1315448.00,capology
2017,Alan Anderson,UFA,0.1,NA,0,0.00,NA
2017,Alan Williams,RFA,2.1,Signed 3-yr/$17M deal with Suns,3,6000000.00,capology
2018,Alan Williams,UFA,0,Signed two-way contract,0,0.00,NA
2019,Alan Williams,UFA,0.2,Will reportedly play in Russia,0,0.00,NA
2019,Alec Burks,UFA,1.5,Signed 1-yr $2.32M contract,1,2320044.00,capology
2018,Alec Peters,UFA,0.3,Will reportedly play in Russia,0,0.00,NA
2019,Álex Abrines,UFA,0.6,Will reportedly play in Spain,0,0.00,NA
2019,Alex Caruso,RFA,1,Signed 2-yr $5.5M contract,2,2750000.00,capology
2018,Alex Len,UFA,4.5,Signed 2-yr $8.51MM contract,2,4350000.00,capology
2017,Alex Len,RFA,3,*qualifying offer*,1,4187599.00,capology
2017,Alex Poythress,UFA,0.3,Signed 2-way contract with Pacers,0,0.00,NA
2018,Alex Poythress,UFA,0.1,Signed two-way contract,0,0.00,NA
2019,Alex Poythress,UFA,0.5,NA,0,0.00,NA
2018,Alfonzo McKinnie,UFA,0.1,Signed training camp deal,0,0.00,NA
2016,Allen Crabbe,RFA,4.3,Signed 4-yr/$75M deal with Trail Blazers,4,18500000.00,capology
2016,Alonzo Gee,UFA,1.9,Signed 1-yr/$1.4M deal with Pelicans,1,1400000.00,capology
2017,Amir Johnson,UFA,5,Signed 1-yr/$11M deal with 76ers,1,11000000.00,capology
2018,Amir Johnson,UFA,4.1,Signed 1-yr minimum salary contract,1,2393887.00,capology
2019,Amir Johnson,UFA,1.1,NA,0,0.00,NA
2016,Anderson Varejão,UFA,1,Signed 1-year deal with Warriors,1,1551659.00,capology
2016,Andre Drummond,RFA,7.4,Signed 5-yr/$130M deal with Pistons,5,22116750.00,capology
2017,Andre Iguodala,UFA,6.9,Signed 3-yr/$48M deal with Warriors,3,14814815.00,capology
2018,Andre Ingram,UFA,0.2,NA,0,0.00,NA
2016,Andre Miller,UFA,1,NA,0,0.00,NA
2017,Andre Roberson,RFA,4.2,Signed 3-yr/$30M deal with Thunder,3,9259259.00,capology
2017,Andrew Bogut,UFA,0.7,Reportedly agreed to 1-yr deal with Lakers,1,2328652.00,spotrac
2019,Andrew Bogut,UFA,0.3,NA,0,0.00,NA
2019,Andrew Harrison,UFA,-0.1,Signed training camp deal,0,0.00,NA
2016,Andrew Nicholson,RFA,1.6,Signed 4-yr/$26M deal with Wizards,4,6088993.00,capology
2018,Andrew White,UFA,-0.1,Will reportedly play in Turkey,0,0.00,NA
2019,Ángel Delgado,UFA,0,Will reportedly play in China,0,0.00,NA
2016,Anthony Bennett,UFA,0.1,Signed 2-yr deal with Nets,2,1015696.00,capology
2017,Anthony Morrow,UFA,1.2,Signed 1-yr deal with Trail Blazers,1,2116955.00,spotrac
2016,Anthony Tolliver,UFA,2.8,Signed 2-yr/$16M deal with Kings,2,8000000.00,capology
2017,Anthony Tolliver,UFA,2.3,Signed 1-yr/$3.3M deal with Pistons,1,3290000.00,capology
2018,Anthony Tolliver,UFA,5.3,Signed 1-yr $5.75MM contract,1,5750000.00,capology
2019,Anthony Tolliver,UFA,1.2,Signed 1-yr $2.56M contract,1,2564753.00,spotrac
2019,Antonio Blakeney,UFA,-0.5,Will reportedly play in China,0,0.00,NA
2018,Antonius Cleveland,UFA,0,Signed two-way contract,0,0.00,NA
2017,Archie Goodwin,UFA,0.7,NA,0,0.00,NA
2017,Aron Baynes,UFA,3,Signed 1-yr/$4.3M deal with Celtics,1,4328000.00,capology
2018,Aron Baynes,UFA,3,Signed 2-yr $10.647MM contract,2,5193600.00,capology
2016,Arron Afflalo,UFA,2.7,Signed 2-yr/$25M deal with Kings,2,12500000.00,capology
2017,Arron Afflalo,UFA,1.4,Signed 1-yr deal with Magic,1,1471382.00,capology
2018,Arron Afflalo,UFA,0.1,NA,0,0.00,NA
2016,Austin Rivers,UFA,1.9,Signed 3-yr/$35.7M deal with Clippers,3,11000000.00,capology
2019,Austin Rivers,UFA,1.2,Signed 2-yr $4.54M contract,2,2174318.00,capology
2018,Avery Bradley,UFA,-0.2,Reportedly agreed to 2-yr $24.96MM contract,2,12000000.00,capology
2019,Avery Bradley,UFA,0.3,Signed 2-yr $9.77M contract,2,4767000.00,capology
2019,B.J. Johnson,UFA,0.1,Signed Exhibit 10 contract,0,0.00,NA
2017,Ben McLemore,UFA,0.4,Signed 2-yr/$10.6M deal with Grizzlies,2,5200000.00,capology
2019,Ben McLemore,UFA,0.2,Signed 2-yr $4.01M contract,2,2028594.00,capology
2016,Beno Udrih,UFA,0.4,Reportedly agreed to 1-yr deal with Heat,1,1551659.00,bball-insiders
2017,Beno Udrih,UFA,1.3,NA,0,0.00,NA
2019,Billy Garrett,UFA,0,Will reportedly play in France,0,0.00,NA
2016,Bismack Biyombo,UFA,5.9,Signed 4-yr/$72M deal with Magic,4,17000000.00,capology
2017,Blake Griffin,UFA,7.7,Signed 5-yr/$173M deal with Clippers,5,29512900.00,capology
2016,Boban Marjanović,RFA,3.4,Signed 3-yr/$21M deal with Pistons,3,7000000.00,capology
2019,Boban Marjanović,UFA,3,Signed 2-yr $7M contract,2,3500000.00,capology
2017,Bobby Brown,UFA,0.1,Reportedly agreed to 1-yr deal with Rockets,1,1524305.00,spotrac
2019,Bobby Portis,UFA,1.6,Signed 2-yr $30.75M contract,2,15000000.00,capology
2017,Bojan Bogdanović,UFA,2.9,Signed 2-yr/$21M deal with Pacers,2,10500000.00,capology
2019,Bojan Bogdanović,UFA,6.8,Signed 4-yr $73.1M contract,4,17000000.00,capology
2019,Bonzie Colson,UFA,0.2,Will reportedly play in Turkey,0,0.00,NA
2017,Boris Diaw,UFA,1.1,Signed in France,0,0.00,NA
2019,Brad Wanamaker,UFA,1,Signed 1-yr $1.44M contract,1,1445697.00,capology
2016,Bradley Beal,RFA,2.7,Signed 5-yr/$128M deal with Wizards,5,22116750.00,capology
2016,Brandon Bass,UFA,4.1,Signed 1-yr deal with Clippers,1,1551659.00,spotrac
2017,Brandon Bass,UFA,2.2,Will reportedly play in China,0,0.00,NA
2016,Brandon Jennings,UFA,1.5,Signed 1-yr/$5M deal with Knicks,1,4837500.00,capology
2017,Brandon Jennings,UFA,1.7,Will reportedly play in China,0,0.00,NA
2018,Brandon Jennings,UFA,0.1,Will reportedly play in Russia,0,0.00,NA
2018,Brandon Paul,UFA,0.5,NA,0,0.00,NA
2016,Brandon Rush,UFA,2,Signed 1-yr/$3.5M deal with Timberwolves,1,3500000.00,capology
2017,Brandon Rush,UFA,0.4,Signed with Bucks,1,2116955.00,spotrac
2019,Brandon Sampson,UFA,0,NA,0,0.00,NA
2016,Brian Roberts,UFA,1,Signed 1-yr minimum salary deal with Hornets,1,1050961.00,spotrac
2017,Brian Roberts,UFA,0.2,Reportedly signed contract in Greece,0,0.00,NA
2017,Briante Weber,UFA,0.3,Signed deal with Lakers,1,815615.00,bball-insiders
2018,Brook Lopez,UFA,3.8,Signed 1-yr $3.382MM contract,1,3382000.00,capology
2019,Brook Lopez,UFA,6.7,Signed 4-yr $52M contract,4,12093024.00,capology
2018,Bruno Caboclo,UFA,0,Signed Exhibit 10 contract,0,0.00,NA
2018,Bryn Forbes,RFA,2.1,Signed to 2-yr $6MM contract,2,3125000.00,capology
2017,C.J. Miles,UFA,4,Signed 3-yr/$25M deal with Raptors,3,7936508.00,capology
2017,C.J. Watson,UFA,0.9,NA,0,0.00,NA
2017,C.J. Wilcox,UFA,-0.2,Signed two-way deal with Trail Blazers,0,0.00,NA
2019,C.J. Williams,UFA,0.1,Signed 1-yr $1.62M contract,1,1620564.00,spotrac
2018,C.J. Williams,UFA,0.7,NA,0,0.00,NA
2019,Cameron Payne,UFA,0.5,Signed 2-yr minimum salary contract,2,1737145.00,spotrac
2019,Cameron Reynolds,UFA,0.4,Signed two-way contract,0,0.00,NA
2018,Carmelo Anthony,UFA,3.7,Signed 1-yr minimum salary contract,1,2393887.00,capology
2019,Carmelo Anthony,UFA,0.3,NA,0,0.00,NA
2016,Chandler Parsons,UFA,4.3,Signed 4-yr/$94M deal with Grizzlies,4,22116750.00,capology
2018,Channing Frye,UFA,1.5,Signed 1-yr minimum salary contract,1,2393887.00,NA
2018,Charles Cooke,UFA,-0.2,Signed training camp deal,0,0.00,NA
2016,Charlie Villanueva,UFA,0.2,NA,0,0.00,NA
2016,Chase Budinger,UFA,1.4,Signed with Nets,1,1315448.00,spotrac
2019,Chasson Randle,UFA,0.6,Will reportedly play in China,0,0.00,NA
2019,Cheick Diallo,UFA,2.6,Signed 2-yr $3.50M contract,2,1678854.00,capology
2018,Chinanu Onuaku,UFA,-0.1,Signed training camp deal,0,0.00,NA
2016,Chris Andersen,UFA,1.3,Signed 1-yr deal with Cavaliers,1,1551659.00,spotrac
2017,Chris Andersen,UFA,0.2,NA,0,0.00,NA
2019,Chris Chiozza,UFA,0,Signed Exhibit 10 contract,0,0.00,NA
2016,Chris Copeland,UFA,-0.1,Signed with Pelicans,1,1050961.00,spotrac
2016,Chris Kaman,UFA,0.1,NA,0,0.00,NA
2018,Chris McCullough,UFA,0.2,Signed training camp deal,0,0.00,NA
2018,Chris Paul,UFA,10.2,Signed 4-yr maximum salary contract ($159.73MM),4,35654150.00,capology
2016,Christian Wood,UFA,0.3,Signed 2-yr deal with Hornets,2,874636.00,capology
2017,Christian Wood,RFA,0.3,Reportedly signed to play in China,0,0.00,NA
2016,Chuck Hayes,UFA,0,NA,0,0.00,NA
2016,Cleanthony Early,RFA,-0.2,Re-signed with Knicks *waived three days later*,0,0.00,NA
2018,Clint Capela,RFA,10.2,Signed 5-yr $87.5MM contract,5,15413043.00,capology
2016,Cole Aldrich,UFA,3.5,Signed 3-yr/$22M deal with Timberwolves,3,7643979.00,spotrac
2018,Cole Aldrich,UFA,0,Signed training camp deal,0,0.00,NA
2018,Corey Brewer,UFA,2.3,NA,0,0.00,NA
2019,Corey Brewer,UFA,1,NA,0,0.00,NA
2016,Cory Jefferson,RFA,0.1,"Signed with Cavaliers *non-guaranteed 1 year, cut before season*",0,0.00,NA
2019,Cory Joseph,UFA,3.5,Signed 3-yr $37.20M contract,3,12000000.00,capology
2016,Courtney Lee,UFA,3.9,Signed 4-yr/$48M deal with Knicks,4,11242000.00,capology
2017,Cristiano Felício,RFA,3.4,Signed 4-yr/$32M deal with Bulls,4,7843500.00,capology
2016,D.J. Augustin,UFA,2.6,Signed 4-yr/$29M deal with Magic,4,7250000.00,capology
2019,D'Angelo Russell,RFA,5,Signed 4-yr $117.32M contract with BRK as part of sign-and-trade,4,27285000.00,capology
2019,Dairis Bertāns,UFA,-0.2,Will reportedly play in Russia,0,0.00,NA
2018,Dakari Johnson,UFA,0.6,Will reportedly play in China,0,0.00,NA
2016,Damjan Rudež,RFA,0.1,Signed with Magic,1,980431.00,spotrac
2017,Damjan Rudež,UFA,0.1,Re-signed with Magic,1,1524305.00,spotrac
2018,Daniel Hamilton,UFA,0.1,Signed 1-yr minimum salary contract,1,1349383.00,NA
2019,Daniel Hamilton,UFA,-0.1,Signed Exhibit 10 contract,0,0.00,NA
2019,Daniel Theis,RFA,3.5,Signed 2-yr $10M contract,2,5000000.00,capology
2017,Danilo Gallinari,UFA,6.8,Traded to Clippers as part of sign and trade (3-yr/$65M),3,20559599.00,capology
2019,Danny Green,UFA,5.9,Signed 2-yr $30M contract,2,14634146.00,capology
2017,Dante Cunningham,UFA,3,Reportedly agreed to 1-yr/$2.3M deal with Pelicans,1,2300000.00,capology
2018,Dante Cunningham,UFA,2.4,Signed 1-yr $2.487MM contract,1,2487000.00,capology
2019,Dante Cunningham,UFA,1.9,NA,0,0.00,NA
2018,Dante Exum,RFA,0.7,Signed 3-yr $28.8MM contract,3,9600000.00,capology
2019,Danuel House,RFA,2.3,Signed 3-yr $11.15M contract,3,3540000.00,capology
2018,Danuel House,UFA,0.6,Signed training camp contract,0,0.00,NA
2019,Darius Miller,UFA,1.6,Signed 2-yr $14.25M contract,2,7250000.00,capology
2016,Darrell Arthur,UFA,2.3,Signed 3-yr/$23M deal with Nuggets,3,8070175.00,capology
2017,Darren Collison,UFA,3.9,Signed 2-yr/$20M deal with Pacers,2,10000000.00,capology
2019,Daryl Macon,UFA,0,Signed Exhibit 10 contract,0,0.00,NA
2016,David Lee,UFA,3,Signed 2-yr/$3M deal with Spurs,2,1551659.00,NA
2017,David Lee,UFA,5.7,NA,0,0.00,NA
2018,David Nwaba,UFA,2.4,Signed 1-yr minimum salary contract,1,1512601.00,capology
2019,David Nwaba,UFA,1.4,Signed 2-yr $3.50M contract,2,1678854.00,capology
2018,David Stockton,UFA,0.1,Will reportedly play in Germany,0,0.00,NA
2016,David West,UFA,5.4,Signed 1-yr/$1.5M deal with Warriors,1,1551659.00,spotrac
2017,David West,UFA,2.6,Signed 1-yr deal with Warriors,1,2328652.00,spotrac
2018,Dāvis Bertāns,RFA,3.1,Signed 2-yr $14MM contract,2,7000000.00,capology
2019,Davon Reed,UFA,0.1,Signed Exhibit 10 contract,0,0.00,NA
2018,DeAndre Jordan,UFA,9.4,Signed 1-yr $22.897MM contract,1,22897200.00,capology
2019,DeAndre Jordan,UFA,7.1,Signed 4-yr $39.96M contract,4,9881598.00,capology
2018,DeAndre Liggins,UFA,0.5,Signed training camp deal,0,0.00,NA
2019,Delon Wright,RFA,4.3,Signed 3-yr $28.05M contract with MEM as part of sign-and-trade,3,9473684.00,NA
2016,DeMar DeRozan,UFA,9.9,Signed 5-yr/$139M deal with Raptors,5,26540100.00,capology
2018,DeMarcus Cousins,UFA,4.7,Signed 1-yr $5.337MM contract,1,5337000.00,capology
2019,DeMarcus Cousins,UFA,2.4,Signed 1-yr $3.5M contract,1,3500000.00,capology
2019,DeMarre Carroll,UFA,3.1,Signed 3-yr $20.65M contract with BRK as part of sign-and-trade,3,6842307.00,spotrac
2017,Demetrius Jackson,UFA,0.1,Signed 2-way deal with Rockets,0,0.00,NA
2018,Demetrius Jackson,UFA,-0.1,NA,0,0.00,NA
2019,Demetrius Jackson,UFA,0.2,Signed Exhibit 10 contract,0,0.00,NA
2019,Deng Adel,UFA,-0.2,Signed Exhibit 10 contract,0,0.00,NA
2016,Deron Williams,UFA,3.7,Signed 1-yr/$10M deal with Mavericks,1,9000000.00,bball-insiders
2017,Deron Williams,UFA,2.4,NA,0,0.00,NA
2018,Derrick Favors,UFA,8,"Signed 2-yr $33.8MM contract, second year guaranteed after 7/6/19",2,16900000.00,capology
2018,Derrick Jones Jr.,UFA,0.4,Signed 2-yr minimum salary contract,2,1512601.00,spotrac
2017,Derrick Rose,UFA,3,Reportedly agreed to 1-yr minimum salary deal with Cavaliers,1,2116955.00,bball-insiders
2018,Derrick Rose,UFA,-0.2,Signed 1-yr minimum salary contract,1,2393887.00,spotrac
2019,Derrick Rose,UFA,3,Signed 2-yr $15M contract,2,7317073.00,capology
2016,Derrick Williams,UFA,3.6,Reportedly agreed to 1-yr/$5M deal with Heat,1,4598000.00,capology
2019,DeVaughn Akoon-Purcell,UFA,0,Signed training camp deal,0,0.00,NA
2018,Devin Harris,UFA,2.5,Signed 1-yr minimum salary contract,1,2393887.00,capology
2019,Devin Harris,UFA,1.5,NA,0,0.00,NA
2019,Devin Robinson,UFA,0.3,Signed 1-yr $1.62M contract,1,1620564.00,spotrac
2016,Dewayne Dedmon,UFA,2.4,Signed 2-yr/$6M deal with Spurs,2,2898000.00,capology
2017,Dewayne Dedmon,UFA,5.2,Signed 2-yr/$14M deal with Hawks,2,6000000.00,capology
2019,Dewayne Dedmon,UFA,4,Signed 3-yr $40M contract,3,13333334.00,capology
2019,Deyonta Davis,UFA,0.4,NA,0,0.00,NA
2016,Dion Waiters,UFA,2.1,Signed 2-yr/$6M deal with Heat,2,2898000.00,capology
2017,Dion Waiters,UFA,1.6,Signed 4-yr/$52M deal with Heat,4,11000000.00,capology
2016,Dirk Nowitzki,UFA,6.8,Signed 2-yr/$50M deal with Mavericks,2,25000000.00,capology
2017,Dirk Nowitzki,UFA,2.5,Signed 2-yr/$10M deal with Mavericks,2,5000000.00,capology
2018,Dirk Nowitzki,UFA,4.8,Signed 1-yr $5MM contract,1,5000000.00,capology
2016,Donatas Motiejūnas,RFA,0.3,NA,0,0.00,NA
2017,Donatas Motiejūnas,UFA,0.2,Signed to play in China,0,0.00,NA
2019,Donatas Motiejūnas,UFA,-0.1,Will reportedly play in China,0,0.00,NA
2019,Donte Grantham,UFA,0,Signed Exhibit 10 contract,0,0.00,NA
2019,Dorian Finney-Smith,RFA,3.3,Signed 3-yr $12M contract,3,4000000.00,capology
2018,Doug McDermott,UFA,2.3,Signed 3-yr $22MM contract,3,7333333.00,capology
2019,Dragan Bender,UFA,0.5,Signed 2-yr $3.50M contract,2,1678854.00,bball-insiders
2016,Drew Gooden,UFA,0,NA,0,0.00,NA
2018,Dwight Buycks,UFA,0.2,NA,0,0.00,NA
2016,Dwight Howard,UFA,6.6,Signed 3-yr/$70.5M deal with Hawks,3,23180275.00,capology
2018,Dwight Howard,UFA,6.8,"Signed 2-yr $10.941MM contract, second year player option",2,5337000.00,capology
2019,Dwight Howard,UFA,0.6,Signed 1-yr $2.56M contract,1,2564753.00,capology
2016,Dwight Powell,RFA,3.1,Signed 4-yr/$37M deal with Mavericks,4,8375000.00,capology
2016,Dwyane Wade,UFA,4.9,Signed 2-yr/$47M deal with Bulls,2,23200000.00,capology
2018,Dwyane Wade,UFA,1.1,Signed 1-yr minimum salary contract,1,2393887.00,capology
2016,E'Twaun Moore,UFA,1.8,Signed 4-yr/$34M deal with Pelicans,4,8081363.00,capology
2018,Ed Davis,UFA,5,Signed 1-yr $4.449MM contract,1,4449000.00,bball-insiders
2019,Ed Davis,UFA,5.7,Signed 2-yr $9.77M contract,2,4767000.00,capology
2019,Edmond Sumner,RFA,0.1,Signed 3-yr $6.48M contract,3,2000000.00,capology
2019,Ekpe Udoh,UFA,1.6,Will reportedly play in China,0,0.00,NA
2018,Elfrid Payton,UFA,2.8,Signed 1-yr $3MM contract,1,3000000.00,capology
2019,Elfrid Payton,UFA,1.5,Signed 2-yr $16M contract,2,8000000.00,capology
2019,Emmanuel Mudiay,UFA,0.8,Signed 1-yr $1.73M contract,1,1737145.00,capology
2019,Enes Kanter,UFA,5.4,Signed 2-yr $9.77M contract,2,4767000.00,capology
2016,Eric Gordon,UFA,2.1,Signed 4-yr/$53M deal with Rockets,4,12385364.00,capology
2016,Eric Moreland,RFA,0,"Signed with Cavaliers *non-guaranteed 1 year, waived a week later*",0,0.00,NA
2018,Eric Moreland,UFA,2.3,Signed Exhibit 10 contract,0,0.00,NA
2019,Eric Moreland,UFA,0,Signed training camp deal,0,0.00,NA
2017,Ersan İlyasova,UFA,4.1,Signed 1-yr/$6M deal with Hawks,1,6000000.00,capology
2018,Ersan İlyasova,UFA,4,"Signed 3-yr $21MM contract, third year not guaranteed",3,7000000.00,capology
2016,Evan Fournier,RFA,5.7,Signed 5-yr/$85M deal with Magic,5,17000000.00,capology
2016,Evan Turner,UFA,4,Signed 4-yr/$70M deal with Blazers,4,16393443.00,capology
2016,Festus Ezeli,RFA,2.7,Signed 2-yr/$16M deal with Trail Blazers,2,7400000.00,capology
2019,Frank Kaminsky,UFA,1.8,Signed 2-yr $9.77M contract,2,4767000.00,capology
2019,Frank Mason III,UFA,0.3,Signed two-way contract,0,0.00,NA
2018,Fred VanVleet,UFA,4.7,Signed 2-yr $18MM contract,2,8653847.00,capology
2019,Furkan Korkmaz,UFA,1.1,Signed 2-yr $3.38M contract,2,1620564.00,capology
2016,Garrett Temple,UFA,2.7,Signed 3-yr/$24M deal with Kings,3,8000000.00,capology
2019,Garrett Temple,UFA,2.2,Signed 2-yr $9.77M contract,2,4767000.00,capology
2016,Gary Neal,UFA,1.4,NA,0,0.00,NA
2018,Gary Payton II,UFA,0.2,Signed training camp deal,0,0.00,NA
2017,George Hill,UFA,5.9,Signed 3-yr/$57M deal with Kings,3,20000000.00,capology
2019,George Hill,UFA,2.8,Signed 3-yr $28.77M contract,3,9133907.00,capology
2019,George King,UFA,0,Will reportedly play in Italy,0,0.00,NA
2018,Georges Niang,RFA,0,"Signed 3-yr $4.942MM contract, first year guaranteed",3,1512601.00,capology
2017,Georges Niang,UFA,-0.3,NA,0,0.00,NA
